repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
NicolasCaronPro/Localized-Forest-Fire-Risk-Prediction-ADepartment-Aware-Approach-for-Operational-DecisionSupport,main,Database/Targets/check_datacube.ipynb,True,python3,python,3.9.18,False,ModuleNotFoundError,,,1.268,True,False,7fa3fc79da4ad5b9d6292643163cbc46d1602d2aadaffa1f908b0c8825b6c2ef,,2,0
NicolasCaronPro/Localized-Forest-Fire-Risk-Prediction-ADepartment-Aware-Approach-for-Operational-DecisionSupport,main,Database/Targets/locate_cities.ipynb,True,python3,python,3.9.18,False,ModuleNotFoundError,,,1.286,True,False,a44311551e73ed3e7e104dca9b06f304bc46993b86f83a575f930bd889083fb3,,8,0
OpenPipe/ART,main,dev/art-e/art_e/evaluate/display_benchmarks.ipynb,True,python3,python,3.10.13,False,ModuleNotFoundError,,,2.602,True,False,b176b4231a30ef15b8f0e6199b098f4461a1d917f82cdc833d5ac21aa0d5b245,,2,0
OpenPipe/ART,main,dev/yes-no-maybe.ipynb,True,python3,python,3.10.18,False,ModuleNotFoundError,,,3.631,True,False,6571861406e78c96740bc0f8d955d6b37275f8e74f922afbd93ef5098a08eaec,,1,0
OpenPipe/ART,main,examples/2048/display_benchmarks.ipynb,True,python3,python,3.10.13,False,ImportError,,,2.06,True,False,b176b4231a30ef15b8f0e6199b098f4461a1d917f82cdc833d5ac21aa0d5b245,,2,0
PHilIp36565/AvXyAzzqY,main,I8xZiF/WwPWzF/kINf/oRJVz/experiential-learning_93E7Du_1747864657.data.ipynb,True,python3,python,,False,ModuleNotFoundError,,,4.073,True,False,50f08d911d2a54cafbe1a74bfce15e9636624962005670f84ec78f4f830d01ba,,7,0
Robotics-STAR-Lab/DynamicPose,master,object_pose_estimator/include/segment-anything-2-real-time/notebooks/automatic_mask_generator_example.ipynb,True,python3,python,3.10.14,False,ModuleNotFoundError,,,2.897,True,False,34792a8a64ed804c2e0d4231c298ed3bc170db1940847dc3d2b456e6a680587a,,5,0
SWauthier/zennit-crp,master,tutorials/attributions.ipynb,True,python3,python,3.8.12,False,ModuleNotFoundError,,,2.595,True,False,f84944e7c03af4d160b67f29685c565c203850c01d9c0bd8bee66b0d787a7e13,,25,0
SWauthier/zennit-crp,master,tutorials/feature_visualization.ipynb,True,python3,python,3.8.12,False,ModuleNotFoundError,,,1.293,True,False,bfd40b582db386fd5618075c4fc4cc6f3a6bd2e2e0c27aa5f0cf3e46a1c44b9d,,39,0
Sharp-4rth/temporal_belief_analysis,main,notebooks/02_stance_detection_pretrained.ipynb,True,python3,python,3.10.12,False,FileNotFoundError,,,14.607,True,False,4b0fd6cfc2dd35ee33d5b10c67921c805ece7acfbe03f85198e85ef83a50a6cf,,4,0
